trial_number,datetime,reward,final_value,profit,return_pct,state,hidden_size,num_layers,batch_size,discount,tau,exploration_phase,observation_covariance,transition_covariance
0,2026-04-18 06:02:42,0.1543,103096.41,3096.41,3.0964,COMPLETE,384,2,128,0.99,0.0020863912566981904,240,0.23219778696352436,0.09933242605744663
1,2026-04-18 08:56:32,3.337,166752.16,66752.16,66.7522,COMPLETE,384,1,128,0.995,0.0021275220877295456,200,1.6250136073824875,0.04808531774661275
2,2026-04-18 11:54:06,0.9937,119879.83,19879.83,19.8798,COMPLETE,256,1,256,0.955,0.0012847345686602498,240,0.3738725870701596,0.12354685861164573
3,2026-04-18 16:40:19,3.3153,166331.39,66331.39,66.3314,COMPLETE,384,3,64,0.955,0.0033647743401537984,300,1.1611506054498728,0.2928857095798716
4,2026-04-18 19:49:03,0.0,100000.0,0.0,0.0,COMPLETE,384,2,64,0.955,0.002423371672680268,240,0.33874114550544615,0.0720302442979976
