trial_number,datetime,reward,final_value,profit,return_pct,state,hidden_size,num_layers,batch_size,discount,tau,exploration_phase,observation_covariance,transition_covariance
0,2026-04-18 21:42:39,3.1607,163134.59,63134.59,63.1346,COMPLETE,128,1,128,0.99,0.0007219634157683665,100,0.2993172232871611,0.05752804167130839
1,2026-04-19 07:20:57,4.2121,184158.64,84158.64,84.1586,COMPLETE,512,2,128,0.97,0.0019342146614798768,140,1.8353655471234984,0.04793598849015878
2,2026-04-19 08:45:52,3.3098,166235.28,66235.28,66.2353,COMPLETE,128,1,256,0.985,0.0027577895938832985,120,0.13318885002220454,0.07954057219096
3,2026-04-19 09:38:02,3.3341,166694.05,66694.05,66.6941,COMPLETE,128,1,128,0.99,0.001578769894240656,300,0.46708427664066804,0.015147811940818453
4,2026-04-19 11:13:04,2.4951,149921.78,49921.78,49.9218,COMPLETE,256,3,32,0.98,0.0007195255466729073,300,0.9461525027525294,0.21928722271358486
5,2026-04-19 16:52:02,0.4953,109910.81,9910.81,9.9108,COMPLETE,384,2,128,0.965,0.0032554005457886954,120,1.8691860785469834,0.4926439857557453
