Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,RSI,MACD,BB_High,BB_Low,ATR,OBV,MFI,ADX
2018-01-02 00:00:00-05:00,176.71054576400638,180.5892759234034,176.58126538156765,180.43014526367188,18151900,,,,,,,0.0,18151900,,0.0
2018-01-03 00:00:00-05:00,180.88764383224344,183.77181498344245,180.3406416689374,183.66241455078125,16886600,,,,,,,0.0,35038500,,0.0
2018-01-04 00:00:00-05:00,183.89116191958993,185.1940271822732,183.09553893621182,183.32427978515625,13880900,,,,,,,0.0,21157600,,0.0
2018-01-05 00:00:00-05:00,184.57738569225208,185.8802356809349,183.92098312259165,185.8305206298828,13574500,,,,,,,0.0,34732100,,0.0
2018-01-08 00:00:00-05:00,186.1786068785027,187.86932839923514,185.31335857962668,187.25271606445312,17994700,,,,,,,0.0,52726800,,0.0
2018-01-09 00:00:00-05:00,187.67044401891562,187.76990448608524,186.07918277295812,186.844970703125,12393100,,,,,,,0.0,40333700,,0.0
2018-01-10 00:00:00-05:00,185.92004106245656,186.86485474235238,184.61719096774874,186.81512451171875,10529900,,,,,,,0.0,29803800,,0.0
2018-01-11 00:00:00-05:00,187.37208156888238,187.37208156888238,186.35765762588534,186.7455291748047,9588600,,,,,,,0.0,20215200,,0.0
2018-01-12 00:00:00-05:00,177.0884920261094,180.48983048940622,176.43208938173558,178.39134216308594,77551300,,,,,,,0.0,-57336100,,0.0
2018-01-16 00:00:00-05:00,180.5096881207517,180.7583240548023,177.06856011625652,177.41665649414062,36183800,,,,,,,0.0,-93519900,,0.0
2018-01-17 00:00:00-05:00,178.2819279885567,178.34161336797706,174.84081470986732,176.63099670410156,27992400,,,,,,,0.0,-121512300,,0.0
2018-01-18 00:00:00-05:00,177.1580985980903,179.99253942913327,176.11382453379676,178.81898498535156,23304900,,,,,,,0.0,-98207400,,0.0
2018-01-19 00:00:00-05:00,179.86327097396284,181.37496678052548,179.1869732284706,180.3008575439453,26826500,,,,,,,0.0,-71380900,,0.0
2018-01-22 00:00:00-05:00,179.81352421417822,184.37847666835495,179.42565273458544,184.35858154296875,21059500,,,58.312980944139746,,,,3.463852161608691,-50321400,51.13377295711457,0.0
2018-01-23 00:00:00-05:00,185.03486662306793,188.51576972738326,184.53759475102288,188.31686401367188,25678800,,,66.24812130839098,,190.7461860711673,175.27247847961394,3.5133761632376777,-24642600,55.01738330696349,0.0
2018-01-24 00:00:00-05:00,188.85393847446247,189.61974151813945,185.5023304247167,185.53216552734375,24334500,,,57.89832549955463,,191.05138027844023,175.64755364083058,3.556521515393755,-48977100,48.737217232601516,0.0
2018-01-25 00:00:00-05:00,186.92452914764763,187.59087176160563,185.58190394359593,186.45709228515625,17377700,,,59.714529294812415,,191.39260981151966,175.67894780566786,3.4495347095986206,-31599400,44.124431339045856,0.0
2018-01-26 00:00:00-05:00,186.72562452617444,188.96334838867188,185.79075079553417,188.96334838867188,17759200,,,64.2187853979106,,192.2188311819268,175.60460224906282,3.4297534869942696,-13840200,44.849249925805296,0.0
2018-01-29 00:00:00-05:00,187.72016185901578,187.8096671682372,184.61718973505404,184.96527099609375,20453200,,,53.87114611181091,,192.11896047691144,175.5891063362396,3.4952109988959528,-34293400,39.27864315354728,0.0
2018-01-30 00:00:00-05:00,186.59631673667937,187.15325887789336,180.847854360451,186.0990447998047,20858600,,,56.03461179518318,,191.93488516105583,175.61935881680876,3.6959391073635532,-13434800,34.81513639452885,0.0
2018-01-31 00:00:00-05:00,187.34223632756888,188.79427715105024,184.2094290000619,185.8703155517578,43275100,,,55.46940055943442,,191.78622793238048,175.6380620253018,3.7594326104796094,-56709900,43.11732509826597,0.0
2018-02-01 00:00:00-05:00,187.1930596826512,194.25432765450796,186.86485836474998,192.03648376464844,54211300,,,65.5560282828865,,193.0389390856822,175.08153210572405,4.089759717070362,-2498600,49.20174973005938,0.0
2018-02-02 00:00:00-05:00,190.9921823752174,193.15035574970292,188.9434245999699,189.24179077148438,26677500,,,59.0298010424019,,193.4864079253029,174.96689814566065,4.098129105117696,-29176100,55.24303231861272,0.0
2018-02-05 00:00:00-05:00,185.91007311607822,189.57000234621697,179.62456392539983,180.27101135253906,33128200,,,43.916533634387555,,193.33932108925424,175.36460754030307,4.515794056239085,-62304300,55.545288510754375,0.0
2018-02-06 00:00:00-05:00,177.59570379516427,184.75641652910323,176.7702305729462,184.29891967773438,37758500,,,50.09480382559426,,193.00254679486238,176.61901692584075,4.763679191947511,-24545800,54.07681152957769,0.0
2018-02-07 00:00:00-05:00,183.1452552151757,184.07018894406175,178.96817382237822,179.19691467285156,27601900,,,43.550398776236875,0.4842600709352496,192.56799690816334,177.3956892083731,4.804183953619557,-52147700,47.826484694527814,0.0
2018-02-08 00:00:00-05:00,180.02238632039666,180.84785958049957,170.5443841440323,170.6438446044922,38478300,,,35.23911181285274,-0.6495480472587474,194.48940670875493,174.38426069033363,5.196990488108679,-90626000,40.2482224551797,0.0
2018-02-09 00:00:00-05:00,173.80646868909847,175.9347918099662,166.26782487859535,175.14910888671875,39887600,,,41.5651393716081,-1.1710626923071175,195.0031898517397,173.1835777263853,5.516274519770264,-50738400,33.79939317174508,18.086452215243842
2018-02-12 00:00:00-05:00,176.09391134700013,176.58124324049695,170.90239183460693,175.4474639892578,32092100,,,41.9694108879972,-1.5425109366033212,195.2265111434814,171.77210742748213,5.527887154493103,-18646300,34.45735126621091,19.48064126117054
2018-02-13 00:00:00-05:00,174.6618012258066,175.00989767370407,172.15556143287486,172.2052764892578,21809400,,,38.825919857601406,-2.0745892084980255,195.10345812421187,169.74694877682978,5.368173968913807,-40455700,34.79579234686031,20.77524537524533
2018-02-14 00:00:00-05:00,172.5036385132349,178.82893840101423,172.26495768668127,178.54052734375,28929700,,,47.154943441276906,-1.9624414706384243,194.66024021316937,169.2579482633931,5.45785167911685,-11526000,40.33619777587179,20.984112052919446
2018-02-15 00:00:00-05:00,179.5151659011694,179.5151659011694,175.87513174824724,178.97811889648438,20922100,,,47.684783110921124,-1.8173048402381369,194.0023925593124,168.91859946542718,5.328007570102945,9396100,40.62371572293798,21.008592231467635
2018-02-16 00:00:00-05:00,178.01339945112957,178.89854282225932,175.33807421267736,176.3922882080078,20645300,,,44.82473292569657,-1.8891608703130487,192.71904065484884,168.5258100124689,5.207438792510379,-11249200,40.69845497112364,21.12071989331458
2018-02-20 00:00:00-05:00,174.81098653340143,176.97908496331436,174.15458391358837,175.04966735839844,21204900,,,43.37020098682755,-2.031033088485202,192.12001542330583,167.80275475898586,5.037228953740066,-32454100,40.765816645819854,21.42602025646871
2018-02-21 00:00:00-05:00,175.7458661044331,180.28098403732304,175.43754473595146,176.93931579589844,23200800,,,46.02487685656192,-1.968299673651586,191.1291320099017,167.57234097186915,5.051092362681819,-9253300,37.718472108241414,20.82696326244986
2018-02-22 00:00:00-05:00,177.72498625543818,179.22675720912773,176.44203134238373,178.01341247558594,18464200,,,47.530514055295654,-1.8110358707880323,190.08640277476434,167.56748313018358,4.8892090415434035,9210900,31.386010448585353,20.27069605371807
2018-02-23 00:00:00-05:00,178.91844424481403,182.38940797148356,178.5305727249713,182.28994750976562,19007300,,,53.13584003760318,-1.3260368103103701,187.2189335390088,169.13541419862145,4.852550931140134,28218200,37.21049631843106,18.957572174349536
2018-02-26 00:00:00-05:00,183.57292397211063,184.6470332583561,182.22034359412035,183.92100524902344,17599700,,,55.105751710476554,-0.8008273927268306,185.39880021624074,170.24610945172802,4.679275126361248,45817900,43.79677963756732,17.98172782814884
2018-02-27 00:00:00-05:00,183.44361669159866,183.69225266303633,180.46994018554688,180.46994018554688,15849800,,,50.289069315218526,-0.6555109322452779,185.42983547267622,170.24159803969357,4.591545836155199,29968100,46.65892382432879,16.737154437359276
2018-02-28 00:00:00-05:00,181.30534130923454,181.88217854554273,177.16803537845917,177.34706115722656,18783000,,,46.341683437591456,-0.7833073494291796,184.1350754973717,170.60944354559706,4.600302788364368,11185100,47.938376911803395,16.30223345405896
2018-03-01 00:00:00-05:00,178.03329865433852,179.1372429939473,173.45840580479344,174.9800567626953,23201600,,,43.551289078187075,-1.0633270314084768,183.8777225880937,170.30454873352087,4.677340959849332,-12016500,50.144013344534926,16.5962549578715
2018-03-02 00:00:00-05:00,172.344478549852,176.1436429324256,172.04612756737401,175.65631103515625,20025900,,,44.57805438989171,-1.2166517743992813,183.34774957637424,171.50285060266222,4.6359248459352065,8009400,53.31579373570163,17.113177278690596
2018-03-05 00:00:00-05:00,175.23861427157473,180.16160303935143,174.93030812210586,179.4156951904297,16189300,,,50.02057161493201,-1.0230191273258242,183.57715932660432,171.84231902626027,4.678451279600233,24198700,50.82355702809708,16.565465864713165
2018-03-06 00:00:00-05:00,180.7881751730786,181.38490753789173,178.13274498317557,178.79908752441406,15086800,,,49.167717038007275,-0.9088423757415853,183.69326687556807,172.17309461531735,4.576573513537085,9111900,57.365073607871615,15.769992284802157
2018-03-07 00:00:00-05:00,177.76477272534592,182.81705729057333,177.098430168735,182.70765686035156,19097300,,,54.46731778276873,-0.49723577290714616,183.97632544234,173.29035343135791,4.658148771272887,28209200,55.89769095053271,14.69832205722832
2018-03-08 00:00:00-05:00,182.558468010918,183.39388120888967,180.45997986507388,181.34512329101562,17225900,,,52.41577934311353,-0.2777775993182843,184.33088165748168,173.30974334251832,4.534988240740238,10983300,55.3434123830242,13.729144011327415
2018-03-09 00:00:00-05:00,182.90655515901562,184.49781614464735,182.21037752933088,184.21934509277344,18526300,,,56.166443120598146,0.12661077271428667,185.30524566724694,173.0342094922583,4.436252855946772,29509600,62.84596501286115,13.092897132147128
2018-03-12 00:00:00-04:00,184.21935944710438,185.08462294584402,183.21487558711397,183.75192260742188,15301200,,,55.40165364013277,0.40470914772356537,186.00257931278696,173.3181604333068,4.252931034717006,14208400,70.15631241719193,12.644375396816836
2018-03-13 00:00:00-04:00,184.5973096087336,184.97524117909458,180.12186167754615,180.88766479492188,18067500,,,50.83387171439561,0.3894926172011992,185.9104935134673,174.18864589082958,4.295820210919251,-3859100,62.37627884020602,12.064641028951575
2018-03-14 00:00:00-04:00,181.60372217638405,183.24471354086413,180.857814251523,183.18504333496094,16821700,180.711366822865,,54.10257916056697,0.5563988358867675,186.27103006753595,174.66087300863592,4.159468716520814,12962600,62.19671188089751,11.526316258790976
2018-03-15 00:00:00-04:00,182.24019926458482,182.9960470391634,181.19592530887428,182.8568115234375,15614300,180.79550190916197,,53.554755386652474,0.654641354611357,186.55098273084923,175.02670688503616,4.004443667204089,-2651700,55.31547048008932,11.026443257927564
