Date,Open,High,Low,Close,Volume,EMA_50,EMA_200,RSI,MACD,BB_High,BB_Low,ATR,OBV,MFI,ADX
2020-01-02 00:00:00-05:00,66.76128915563321,68.08452005490719,66.76128915563321,68.04620361328125,28132000,,,,,,,0.0,28132000,,0.0
2020-01-03 00:00:00-05:00,67.07529037086411,68.30148466377585,66.9600373257516,67.71227264404297,23728000,,,,,,,0.0,4404000,,0.0
2020-01-06 00:00:00-05:00,67.18179957634237,69.49583630215592,67.18179957634237,69.38188171386719,34646000,,,,,,,0.0,39050000,,0.0
2020-01-07 00:00:00-05:00,69.56749635097823,69.81880085783358,69.19127235651817,69.33857727050781,30054000,,,,,,,0.0,8996000,,0.0
2020-01-08 00:00:00-05:00,69.27588002329139,70.24628990579961,69.21417581732828,69.88500213623047,30560000,,,,,,,0.0,39556000,,0.0
2020-01-09 00:00:00-05:00,70.69365795847132,71.03006199373336,70.18107880646254,70.65682983398438,30018000,,,,,,,0.0,69574000,,0.0
2020-01-10 00:00:00-05:00,71.0415118760559,71.40822890881397,70.58318772267843,71.14950561523438,36414000,,,,,,,0.0,105988000,,0.0
2020-01-13 00:00:00-05:00,71.46800057652041,71.68646352413954,70.96488276211652,71.62226867675781,33046000,,,,,,,0.0,139034000,,0.0
2020-01-14 00:00:00-05:00,71.61131918676213,71.75015744005867,71.08182939227687,71.20673370361328,31178000,,,,,,,0.0,107856000,,0.0
2020-01-15 00:00:00-05:00,71.17338368354764,71.72999714903875,71.17338368354764,71.62076568603516,25654000,,,,,,,0.0,133510000,,0.0
2020-01-16 00:00:00-05:00,72.03083501729223,72.25726347773951,71.70636779455128,72.24282836914062,23474000,,,,,,,0.0,156984000,,0.0
2020-01-17 00:00:00-05:00,72.80068235222082,73.71559936874215,72.56729073297409,73.67056274414062,47924000,,,,,,,0.0,204908000,,0.0
2020-01-21 00:00:00-05:00,73.60736938544426,74.24086640534432,73.21323244155424,73.87012481689453,40734000,,,,,,,0.0,245642000,,0.0
2020-01-22 00:00:00-05:00,74.19856247091646,74.80637844327426,73.89648829768433,73.94725036621094,32216000,,,90.70837689752925,,,,1.0448669466648977,277858000,92.56854017349889,0.0
2020-01-23 00:00:00-05:00,74.03135994138042,74.42349979351208,73.75566532050314,73.98208618164062,27024000,,,90.78063745966627,,75.25089204696232,67.1934937359153,1.0179360556894719,304882000,86.76746629582328,0.0
2020-01-24 00:00:00-05:00,74.32744252128684,74.4222464701563,72.9171227279688,72.98978424072266,35692000,,,73.29483182465768,,75.28529833183109,67.81823153470538,1.0527351761536161,269190000,79.21994629063617,0.0
2020-01-27 00:00:00-05:00,71.21270441236497,71.56453831893283,70.7250088867633,71.35701751708984,35104000,,,54.64394625927638,,74.92238316132183,68.66711268828753,1.1393094745683114,234086000,71.73594315813844,0.0
