trial_number,datetime,reward,final_value,profit,return_pct,state,hidden_size,num_layers,batch_size,discount,tau,exploration_phase,observation_covariance,transition_covariance
0,2026-04-16 16:10:24,2.2411,144817.63,44817.63,44.8176,COMPLETE,128,3,256,0.99,0.0005212714093533978,160,1.118471023502991,0.058223970496791906
1,2026-04-16 17:02:20,0.0,100000.0,0.0,0.0,COMPLETE,128,1,128,0.955,0.0022516022728059112,160,0.14074510966181228,0.1432908551389826
2,2026-04-16 22:02:07,3.3093,166225.01,66225.01,66.225,COMPLETE,384,3,64,0.99,0.0010278018045690512,180,0.2385163268426516,0.15092812549517384
